Category,Evidence,Quality,autoimmune,Parent,Disease,Syn,SNOMED,ConceptID,Profile,pubmed,Citation,prevtype,Prevalence_Description,prevnotes,min_rate,max_rate, denom , us_cases_min ,us_cases_max,us_cases_mean,rateper100k,Antibodies,Rose_Mackay Citation,Pubmed Evidence (incomplete)
Glands,Antibody,Strong,Autoimmune,Sjögren's disease,SJS,A,83901003,,"Sjögren’s disease is a systemic autoimmune disease that can affect many parts of the body.  Traditionally, it was thought to be focused on the moisture-secreting glands of the eyes and mouth, but that has since been debunked.  Its name was changed from Sjögren's syndrome to Sjögren's disease to reflect the systemic nature of the disease.  Sjögren's patients are also predominantly female, with a female to male ratio of roughly 10 to 1.                                                                                               

Sjögren's can impact many different areas of the body, including the lungs, brain, gastrointestinal tract, sinus tract, nerves, joints, blood vessels, and kidneys.  Symptoms vary significantly among patients, ranging from dry eyes and dry mouth to systemic fatigue, pain and brain fog.  Depression and anxiety are also common comorbidities to the disease.  Patients’ quality of life can be significantly impacted, with some evidence that fatigue and pain are the greatest predictors of poor quality of life.                                                                                          

Patients with Sjögren's can be diagnosed through positive antibodies (SSA or SSB), seropositive, or by diagnostic criteria without the presence of antibodies (called ""seronegative"").  Seronegative patients report greater difficulty in obtaining a diagnosis and it is believed that, in general, Sjögren's disease is under-diagnosed.                                               

Sjögren's disease is also often accompanied by other immune system disorders, such as rheumatoid arthritis and lupus.  In such cases, physicians tend to refer to the patients as having Secondary Sjögren's, as opposed to Primary Sjögren's when patients only have one autoimmune disease.  There has been a movement among patients and advocates to remove the label of “Secondary” as it trivializes Sjögren's as less important than the other autoimmune diseases.",https://pubmed.ncbi.nlm.nih.gov/32606345/,Narváez 2020,P,.15 to .43 cases per 100,,0.15,0.43, 100 ," 499,950 "," 1,433,190 "," 966,570 ", 290.0 ,,"From an immunological point of view, B cell activation is the hallmark of the syndrome resulting in hypergammaglobulinemia, cryoglobulinemia, and autoantibody production. The latter includes the presence of increased titers of antinuclear antibodies and rheumatoid factor as well as reactivities against the ribonucleoproteinic complexes Ro/SSA and La/SSB. Antibodies against a-fodrin—an organ-specific cytoskeletal autoantigen—initially purified by salivary glands of a murine SjS mouse model have been also detected in almost all sera from patients with primary SjS (Haneji et al., 1997; Witte et al., 2000, 2003). However, subsequent reports failed to demonstrate their superiority in terms of specificity and sensitivity in comparison to anti-Ro/SSA and anti-La/SSB testing (Ruiz-Tiscar et al., 2005; Locht et al., 2008). As a result their use in clinical practice is quite limited. Hypergammaglobulinemia has been associated with cutaneous vasculitis, articular, pulmonary or renal involvement and cryoglobulinemia with B cell lymphoma development and increased mortality rates (Skopouli et al., 2000; Ioannidis et al., 2002). Antibodies directed against Ro/SSA and La/SSB antigens are detected in approximately 60% and 30% of SjS patients, respectively, and have been previously shown to be associated with earlier disease onset, longer disease duration, parotid gland enlargement, higher frequency of extraglandular manifestations, more intense lymphocytic infiltration of the minor salivary glands, other B cell activation markers, as well as the presence of HLADR2 and DR3. While RNA immunoprecipitation has been considered as the reference method for detection of these autoantibodies, counterimmunoelectrophoresis demonstrates increased reliability with high levels of sensitivity and specificity. Commercially available enzyme-linked immunosorbent assay (ELISA) kits are now widely used in clinical practice (Manoussakis et al., 1993; Mavragani et al., 2000; Tzioufas et al., 2002; Hernandez-Molina et al., 2011). On the other hand, anticentromere (ACA) antibodies occur in 3.7% of SjS patients designating the presence of an intermediate scleroderma-like phenotype. The ACA+ SjS subgroup demonstrates a higher prevalence of Raynaud's phenomenon and dysphagia but lower rates of dry eyes, hypergammaglobulinemia, anti-Ro/SSA, and anti-La/SSB antibodies compared to ACA− SjS patients.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoimmune https://pubmed.ncbi.nlm.nih.gov/?term=%22Sjogren%27s+syndrome%22+%22autoimmune%22&sort=date
Glands,Antibody,Strong,Autoimmune,Sjögren's disease,Sjogren's disease,H,83901003,254443,,https://pubmed.ncbi.nlm.nih.gov/32606345/,Narváez 2020,P,.15 to .43 cases per 100,,0.15,0.43, 100 ," 499,950 "," 1,433,190 "," 966,570 ", 290.0 ,,"From an immunological point of view, B cell activation is the hallmark of the syndrome resulting in hypergammaglobulinemia, cryoglobulinemia, and autoantibody production. The latter includes the presence of increased titers of antinuclear antibodies and rheumatoid factor as well as reactivities against the ribonucleoproteinic complexes Ro/SSA and La/SSB. Antibodies against a-fodrin—an organ-specific cytoskeletal autoantigen—initially purified by salivary glands of a murine SjS mouse model have been also detected in almost all sera from patients with primary SjS (Haneji et al., 1997; Witte et al., 2000, 2003). However, subsequent reports failed to demonstrate their superiority in terms of specificity and sensitivity in comparison to anti-Ro/SSA and anti-La/SSB testing (Ruiz-Tiscar et al., 2005; Locht et al., 2008). As a result their use in clinical practice is quite limited. Hypergammaglobulinemia has been associated with cutaneous vasculitis, articular, pulmonary or renal involvement and cryoglobulinemia with B cell lymphoma development and increased mortality rates (Skopouli et al., 2000; Ioannidis et al., 2002). Antibodies directed against Ro/SSA and La/SSB antigens are detected in approximately 60% and 30% of SjS patients, respectively, and have been previously shown to be associated with earlier disease onset, longer disease duration, parotid gland enlargement, higher frequency of extraglandular manifestations, more intense lymphocytic infiltration of the minor salivary glands, other B cell activation markers, as well as the presence of HLADR2 and DR3. While RNA immunoprecipitation has been considered as the reference method for detection of these autoantibodies, counterimmunoelectrophoresis demonstrates increased reliability with high levels of sensitivity and specificity. Commercially available enzyme-linked immunosorbent assay (ELISA) kits are now widely used in clinical practice (Manoussakis et al., 1993; Mavragani et al., 2000; Tzioufas et al., 2002; Hernandez-Molina et al., 2011). On the other hand, anticentromere (ACA) antibodies occur in 3.7% of SjS patients designating the presence of an intermediate scleroderma-like phenotype. The ACA+ SjS subgroup demonstrates a higher prevalence of Raynaud's phenomenon and dysphagia but lower rates of dry eyes, hypergammaglobulinemia, anti-Ro/SSA, and anti-La/SSB antibodies compared to ACA− SjS patients.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoimmune https://pubmed.ncbi.nlm.nih.gov/?term=%22Sjogren%27s+syndrome%22+%22autoimmune%22&sort=date
Glands,Antibody,Strong,Autoimmune,Sjögren's disease,Keratoconjunctivitis sicca,S,83901003,,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Sjögren's disease,Sicca syndrome,S,83901003,254443," Sicca syndrome is marked by dry mouth and dry eyes. If these symptoms are caused by an autoimmune process, it is called Sjogren's disease. See <a href=""/Disease_Profile/Sj%C3%B6grens-disease.aspx"">Sjögrens disease for more information.  ",https://pubmed.ncbi.nlm.nih.gov/32606345/,Narváez 2020,P,.15 to .43 cases per 100,,0.15,0.43, 100 ," 499,950 "," 1,433,190 "," 966,570 ", 290.0 ,,"From an immunological point of view, B cell activation is the hallmark of the syndrome resulting in hypergammaglobulinemia, cryoglobulinemia, and autoantibody production. The latter includes the presence of increased titers of antinuclear antibodies and rheumatoid factor as well as reactivities against the ribonucleoproteinic complexes Ro/SSA and La/SSB. Antibodies against a-fodrin—an organ-specific cytoskeletal autoantigen—initially purified by salivary glands of a murine SjS mouse model have been also detected in almost all sera from patients with primary SjS (Haneji et al., 1997; Witte et al., 2000, 2003). However, subsequent reports failed to demonstrate their superiority in terms of specificity and sensitivity in comparison to anti-Ro/SSA and anti-La/SSB testing (Ruiz-Tiscar et al., 2005; Locht et al., 2008). As a result their use in clinical practice is quite limited. Hypergammaglobulinemia has been associated with cutaneous vasculitis, articular, pulmonary or renal involvement and cryoglobulinemia with B cell lymphoma development and increased mortality rates (Skopouli et al., 2000; Ioannidis et al., 2002). Antibodies directed against Ro/SSA and La/SSB antigens are detected in approximately 60% and 30% of SjS patients, respectively, and have been previously shown to be associated with earlier disease onset, longer disease duration, parotid gland enlargement, higher frequency of extraglandular manifestations, more intense lymphocytic infiltration of the minor salivary glands, other B cell activation markers, as well as the presence of HLADR2 and DR3. While RNA immunoprecipitation has been considered as the reference method for detection of these autoantibodies, counterimmunoelectrophoresis demonstrates increased reliability with high levels of sensitivity and specificity. Commercially available enzyme-linked immunosorbent assay (ELISA) kits are now widely used in clinical practice (Manoussakis et al., 1993; Mavragani et al., 2000; Tzioufas et al., 2002; Hernandez-Molina et al., 2011). On the other hand, anticentromere (ACA) antibodies occur in 3.7% of SjS patients designating the presence of an intermediate scleroderma-like phenotype. The ACA+ SjS subgroup demonstrates a higher prevalence of Raynaud's phenomenon and dysphagia but lower rates of dry eyes, hypergammaglobulinemia, anti-Ro/SSA, and anti-La/SSB antibodies compared to ACA− SjS patients.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoimmune https://pubmed.ncbi.nlm.nih.gov/?term=%22Sjogren%27s+syndrome%22+%22autoimmune%22&sort=date
Glands,Antibody,Strong,Autoimmune,Sjögren's disease,Sjögrens disease,S,83901003,254443,,https://pubmed.ncbi.nlm.nih.gov/32606345/,Narváez 2020,P,.15 to .43 cases per 100,,0.15,0.43, 100 ," 499,950 "," 1,433,190 "," 966,570 ", 290.0 ,,"From an immunological point of view, B cell activation is the hallmark of the syndrome resulting in hypergammaglobulinemia, cryoglobulinemia, and autoantibody production. The latter includes the presence of increased titers of antinuclear antibodies and rheumatoid factor as well as reactivities against the ribonucleoproteinic complexes Ro/SSA and La/SSB. Antibodies against a-fodrin—an organ-specific cytoskeletal autoantigen—initially purified by salivary glands of a murine SjS mouse model have been also detected in almost all sera from patients with primary SjS (Haneji et al., 1997; Witte et al., 2000, 2003). However, subsequent reports failed to demonstrate their superiority in terms of specificity and sensitivity in comparison to anti-Ro/SSA and anti-La/SSB testing (Ruiz-Tiscar et al., 2005; Locht et al., 2008). As a result their use in clinical practice is quite limited. Hypergammaglobulinemia has been associated with cutaneous vasculitis, articular, pulmonary or renal involvement and cryoglobulinemia with B cell lymphoma development and increased mortality rates (Skopouli et al., 2000; Ioannidis et al., 2002). Antibodies directed against Ro/SSA and La/SSB antigens are detected in approximately 60% and 30% of SjS patients, respectively, and have been previously shown to be associated with earlier disease onset, longer disease duration, parotid gland enlargement, higher frequency of extraglandular manifestations, more intense lymphocytic infiltration of the minor salivary glands, other B cell activation markers, as well as the presence of HLADR2 and DR3. While RNA immunoprecipitation has been considered as the reference method for detection of these autoantibodies, counterimmunoelectrophoresis demonstrates increased reliability with high levels of sensitivity and specificity. Commercially available enzyme-linked immunosorbent assay (ELISA) kits are now widely used in clinical practice (Manoussakis et al., 1993; Mavragani et al., 2000; Tzioufas et al., 2002; Hernandez-Molina et al., 2011). On the other hand, anticentromere (ACA) antibodies occur in 3.7% of SjS patients designating the presence of an intermediate scleroderma-like phenotype. The ACA+ SjS subgroup demonstrates a higher prevalence of Raynaud's phenomenon and dysphagia but lower rates of dry eyes, hypergammaglobulinemia, anti-Ro/SSA, and anti-La/SSB antibodies compared to ACA− SjS patients.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoimmune https://pubmed.ncbi.nlm.nih.gov/?term=%22Sjogren%27s+syndrome%22+%22autoimmune%22&sort=date
Glands,Antibody,Strong,Autoimmune,Sjögren's disease,Sjögren's syndrome,S,83901003,254443,,https://pubmed.ncbi.nlm.nih.gov/32606345/,Narváez 2020,P,.15 to .43 cases per 100,,0.15,0.43, 100 ," 499,950 "," 1,433,190 "," 966,570 ", 290.0 ,,"From an immunological point of view, B cell activation is the hallmark of the syndrome resulting in hypergammaglobulinemia, cryoglobulinemia, and autoantibody production. The latter includes the presence of increased titers of antinuclear antibodies and rheumatoid factor as well as reactivities against the ribonucleoproteinic complexes Ro/SSA and La/SSB. Antibodies against a-fodrin—an organ-specific cytoskeletal autoantigen—initially purified by salivary glands of a murine SjS mouse model have been also detected in almost all sera from patients with primary SjS (Haneji et al., 1997; Witte et al., 2000, 2003). However, subsequent reports failed to demonstrate their superiority in terms of specificity and sensitivity in comparison to anti-Ro/SSA and anti-La/SSB testing (Ruiz-Tiscar et al., 2005; Locht et al., 2008). As a result their use in clinical practice is quite limited. Hypergammaglobulinemia has been associated with cutaneous vasculitis, articular, pulmonary or renal involvement and cryoglobulinemia with B cell lymphoma development and increased mortality rates (Skopouli et al., 2000; Ioannidis et al., 2002). Antibodies directed against Ro/SSA and La/SSB antigens are detected in approximately 60% and 30% of SjS patients, respectively, and have been previously shown to be associated with earlier disease onset, longer disease duration, parotid gland enlargement, higher frequency of extraglandular manifestations, more intense lymphocytic infiltration of the minor salivary glands, other B cell activation markers, as well as the presence of HLADR2 and DR3. While RNA immunoprecipitation has been considered as the reference method for detection of these autoantibodies, counterimmunoelectrophoresis demonstrates increased reliability with high levels of sensitivity and specificity. Commercially available enzyme-linked immunosorbent assay (ELISA) kits are now widely used in clinical practice (Manoussakis et al., 1993; Mavragani et al., 2000; Tzioufas et al., 2002; Hernandez-Molina et al., 2011). On the other hand, anticentromere (ACA) antibodies occur in 3.7% of SjS patients designating the presence of an intermediate scleroderma-like phenotype. The ACA+ SjS subgroup demonstrates a higher prevalence of Raynaud's phenomenon and dysphagia but lower rates of dry eyes, hypergammaglobulinemia, anti-Ro/SSA, and anti-La/SSB antibodies compared to ACA− SjS patients.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoimmune https://pubmed.ncbi.nlm.nih.gov/?term=%22Sjogren%27s+syndrome%22+%22autoimmune%22&sort=date
Kidney,Antibody,Strong,Autoimmune,SLE glomerulonephritis syndrome,SLE glomerulonephritis syndrome,N,68815009,4285717,"Lupus nephritis is a complication in patients with systemic lupus erythematosus (SLE), an autoimmune condition causing inflammation of the body's tissues.  Lupus nephritis targets the kidneys, causing damage and inflammation, which prevents normal function and may lead to kidney failure.  Significant delay or lack of treatment can be fatal, but early medical care can manage symptoms and result in a good prognosis.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5864167/,Wang 2017,P,29% of lupus patients, Based on percentage of patients with lupus ,20.909,21.576," 100,000 "," 69,690 "," 71,912.81 "," 70,801 ", 21.2 ,,Subtype of lupus,
Kidney,Antibody,Strong,Autoimmune,SLE glomerulonephritis syndrome,Lupus nephritis,S,68815009,4285717,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5864167/,Wang 2017,P,29% of lupus patients, Based on percentage of patients with lupus ,20.909,21.576," 100,000 "," 69,690 "," 71,912.81 "," 70,801 ", 21.2 ,,Subtype of lupus,
Nervous System,Antibody,Moderate,Autoimmune,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,N,771271000,36674282,"Steroid-responsive encephalopathy associated with autoimmune thyroiditis (SREAT), often called Hashimoto’s encephalopathy, is a rare autoimmune disease that affects both the nervous system and endocrine system. Encephalopathy, or brain dysfunction, resulting from thyroid disease can lead to muscle twitches, seizures, confusion, and even paranoia. The three forms of SREAT are acute, subacute, and chronic. SREAT also ranges in severity, from mild cognitive impairment to life-threatening seizures.",https://pubmed.ncbi.nlm.nih.gov/17850170/,Mocellin 2007,P,"2.1 cases per 100,000","The prevalence has been estimated to be 2.1/100,000, by reference",2.1,," 100,000 "," 6,999 "," 6,999 "," 6,999 ", 2.1 ,,subtype of autoimmune thyroiditis,This seems strange
Nervous System,Antibody,Moderate,Autoimmune,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Hashimoto's encephalopathy,S,771271000,36674282,,https://pubmed.ncbi.nlm.nih.gov/17850170/,Mocellin 2007,P,"2.1 cases per 100,000","The prevalence has been estimated to be 2.1/100,000, by reference",2.1,," 100,000 "," 6,999 "," 6,999 "," 6,999 ", 2.1 ,,subtype of autoimmune thyroiditis,This seems strange
Nervous System,Antibody,Moderate,Autoimmune,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Hashimoto's encephalitis,S,771271000,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Encephalopathy associated with autoimmune thyroid disease,S,771271000,36674282,,https://pubmed.ncbi.nlm.nih.gov/17850170/,Mocellin 2007,P,"2.1 cases per 100,000","The prevalence has been estimated to be 2.1/100,000, by reference",2.1,," 100,000 "," 6,999 "," 6,999 "," 6,999 ", 2.1 ,,subtype of autoimmune thyroiditis,This seems strange
Nervous System,Antibody,Moderate,Autoimmune,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Nonvasculitic autoimmune meningoecephalitis,S,771271000,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Antibody,Moderate,Autoimmune,Stiff-person syndrome,Stiff-person syndrome,N,5217008,379008,"Stiff person syndrome (SPS) is a rare, progressive syndrome believed to be autoimmune in nature, though the cause is currently unknown.  SPS is characterized by decreased inhibition of the central nervous system, which leads to greater muscle activity causing flares of severe stiffness and spasms, usually in the muscles of the trunk and limbs.  Triggers include noise, touch, and emotional distress.  SPS may result in disability, fractures due to severe muscle contractions, and abnormal posture.  Comorbidities may include diabetes, thyroiditis, vitiligo, and pernicious anemia.  There is no cure, but symptoms can be managed through treatment.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944797/,Nguyen 2019,P,119 cases in UK over 5 years.,Unsubstantiated in article,0.1,," 100,000 ", 333 , 333 , 333 , 0.1 ,,"An autoimmune basis is confirmed by positive serological tests and/or improvement with immunotherapy. While a specific autoantibody syndrome cannot be distinguished with certainty, particular findings suggest specific diagnoses. Thus, stiffness with acquired hyperekplexia (an extremely exaggerated startle response) has been associated with autoantibodies to the glycine receptor, and stiff person syndrome in the setting of gynecologic cancers

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Musculoskeletal,Antibody,Moderate,Autoimmune,Stiff-person syndrome,Moersch-Woltman syndrome,S,5217008,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Antibody,Moderate,Autoimmune,Stiff-person syndrome,Stiff man syndrome,S,5217008,379008,"Stiff person syndrome (SPS) is a rare, progressive syndrome believed to be autoimmune in nature, though the cause is currently unknown.  SPS is characterized by decreased inhibition of the central nervous system, which leads to greater muscle activity causing flares of severe stiffness and spasms, usually in the muscles of the trunk and limbs.  Triggers include noise, touch, and emotional distress.  SPS may result in disability, fractures due to severe muscle contractions, and abnormal posture.  Comorbidities may include diabetes, thyroiditis, vitiligo, and pernicious anemia.  There is no cure, but symptoms can be managed through treatment.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944797/,Nguyen 2019,P,119 cases in UK over 5 years.,Unsubstantiated in article,0.1,," 100,000 ", 333 , 333 , 333 , 0.1 ,,"An autoimmune basis is confirmed by positive serological tests and/or improvement with immunotherapy. While a specific autoantibody syndrome cannot be distinguished with certainty, particular findings suggest specific diagnoses. Thus, stiffness with acquired hyperekplexia (an extremely exaggerated startle response) has been associated with autoantibodies to the glycine receptor, and stiff person syndrome in the setting of gynecologic cancers

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Musculoskeletal,Antibody,Moderate,Autoimmune,Stiff-person syndrome,Stiff person syndrome,S,5217008,379008,"Stiff person syndrome (SPS) is a rare, progressive syndrome believed to be autoimmune in nature, though the cause is currently unknown.  SPS is characterized by decreased inhibition of the central nervous system, which leads to greater muscle activity causing flares of severe stiffness and spasms, usually in the muscles of the trunk and limbs.  Triggers include noise, touch, and emotional distress.  SPS may result in disability, fractures due to severe muscle contractions, and abnormal posture.  Comorbidities may include diabetes, thyroiditis, vitiligo, and pernicious anemia.  There is no cure, but symptoms can be managed through treatment.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944797/,Nguyen 2019,P,119 cases in UK over 5 years.,Unsubstantiated in article,0.1,," 100,000 ", 333 , 333 , 333 , 0.1 ,,"An autoimmune basis is confirmed by positive serological tests and/or improvement with immunotherapy. While a specific autoantibody syndrome cannot be distinguished with certainty, particular findings suggest specific diagnoses. Thus, stiffness with acquired hyperekplexia (an extremely exaggerated startle response) has been associated with autoantibodies to the glycine receptor, and stiff person syndrome in the setting of gynecologic cancers

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Heart,Unconfirmed,Unconfirmed,Unconfirmed,Subacute bacterial endocarditis,Subacute bacterial endocarditis,N,73774007,4249899,"Subacute bacterial endocarditis (SBE) is a type of bacterial endocarditis. Endocarditis is an infection of the inner lining of your heart chambers and heart valves (the endocardium).  In SBE, the lining inside the heart valves become infected. 

SBE is not an autoimmune disease, but patients are at increased risk of developing autoimmune disease following SBE. 

This condition most frequently occurs following surgery to a region of the body infected with streptococcal bacteria.  Invasive surgery in the infected tissue facilitates the spread of the bacteria to the heart valves by way of the blood.  The infection normally develops slowly during the two weeks after surgery and may persist for months.  SBE typically only occurs in patients who already have damage to their heart valves from other health conditions.  SBE is difficult to diagnosis because initial symptoms consist almost exclusively of feelings of malaise, which are also common in many other disorders.  SBE may trigger the onset of autoimmune conditions, such as vasculitis. If left untreated, complications can be fatal; however, positive outcomes are expected with early medical care.",https://pubmed.ncbi.nlm.nih.gov/28104075/,Cahill 2017,I,"3.0 to 10.0 cases per 100,000", Incidence - cases per year ,3,10," 100,000 "," 9,999 "," 33,330 "," 21,665 ", 6.5 ,,No mention (1 footnote),
Heart,Unconfirmed,Unconfirmed,Unconfirmed,Subacute bacterial endocarditis,Subacute infective endocarditis,S,73774007,,,,,,,,,,,0,0,0, -   ,,,
Heart,Unconfirmed,Unconfirmed,Unconfirmed,Subacute bacterial endocarditis,Subacute native valve endocarditis,S,73774007,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Sympathetic uveitis,Sympathetic uveitis,N,75315001,438739,"Sympathetic Ophthalmia (SO) is a rare inflammatory condition that affects both eyes following trauma or surgery to one of the eyes. The immune system is sensitized to proteins from the damaged eye and then attacks those same proteins in the uninjured (or “spared” eye), leading to inflammation of the uninjured eye. Sympathetic ophthalmia is a form of uveitis. The disease can lead to blindness. 
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3277011/,Arevalo 2012,I,".03 cases per 100,000", Incidence - cases per year ,0.03,," 100,000 ", 100 , 100 , 100 , 0.0 ,,"Immunity in the eye is deviant and atypical. The eye's ability to regulate local immune responses has been attributed to several factors. First, there are several immunosuppressive substances in the aqueous humor of the eye, such as α-melanocyte-stimulating hormone (α-MSH), vasoactive intestinal peptide (VIP), transforming-growth factor-beta (TGF-β), and macrophage-migration-inhibitory factor (MIF), which act to modulate ocular immune responses. Second, there are bone marrow-derived cells in the vascularized tissues of the eye that may capture antigens and present them to immune cells. Third, surface markers, such as CD95 ligand (Griffith et al., 1996; Ferguson and Griffith, 1997), CD46 (Bora et al., 1993), and CD59 are expressed in ocular parenchymal tissues; they directly inhibit effector T cell components of complement, thus saving the eye from tissue damage. Also, inside the eye, both the retina and anterior chamber have a well-structured vascular network with blood-ocular barriers that protect the eye from intruding macromolecules. The ability to discriminate between self and non-self is used for elimination of autoreactive cells. Because the eye is considered to be an immunologically privileged organ, it is believed that expression of ocular autoantigens occurs exclusively within the intraocular environment (Gery and Streilein, 1994). A classic example of organ-specific autoimmune disease caused by autoantigens is sympathetic ophthalmia, a rare form of intraocular inflammation in which the fellow eye develops inflammation after penetrating injury of the opposite eye. The inflammation may develop as early as several days after the penetrating insult to decades later. Typically, it occurs in the first several weeks (4–12 weeks). It is speculated that the injury causes primary immunization to self-antigens.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Antibody,Moderate,Autoimmune,Sympathetic uveitis,Exciting Eye,S,75315001,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Sympathetic uveitis,Spared Eye Injury,S,75315001,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Sympathetic uveitis,Sympathetic ophthalmia,S,75315001,438739,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3277011/,Arevalo 2012,I,".03 cases per 100,000", Incidence - cases per year ,0.03,," 100,000 ", 100 , 100 , 100 , 0.0 ,,"Immunity in the eye is deviant and atypical. The eye's ability to regulate local immune responses has been attributed to several factors. First, there are several immunosuppressive substances in the aqueous humor of the eye, such as α-melanocyte-stimulating hormone (α-MSH), vasoactive intestinal peptide (VIP), transforming-growth factor-beta (TGF-β), and macrophage-migration-inhibitory factor (MIF), which act to modulate ocular immune responses. Second, there are bone marrow-derived cells in the vascularized tissues of the eye that may capture antigens and present them to immune cells. Third, surface markers, such as CD95 ligand (Griffith et al., 1996; Ferguson and Griffith, 1997), CD46 (Bora et al., 1993), and CD59 are expressed in ocular parenchymal tissues; they directly inhibit effector T cell components of complement, thus saving the eye from tissue damage. Also, inside the eye, both the retina and anterior chamber have a well-structured vascular network with blood-ocular barriers that protect the eye from intruding macromolecules. The ability to discriminate between self and non-self is used for elimination of autoreactive cells. Because the eye is considered to be an immunologically privileged organ, it is believed that expression of ocular autoantigens occurs exclusively within the intraocular environment (Gery and Streilein, 1994). A classic example of organ-specific autoimmune disease caused by autoantigens is sympathetic ophthalmia, a rare form of intraocular inflammation in which the fellow eye develops inflammation after penetrating injury of the opposite eye. The inflammation may develop as early as several days after the penetrating insult to decades later. Typically, it occurs in the first several weeks (4–12 weeks). It is speculated that the injury causes primary immunization to self-antigens.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Antibody,Moderate,Autoimmune,Sympathetic uveitis,Sympathizing Eye,S,75315001,,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Systemic lupus erythematosus,SLE,A,55464009,,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Systemic lupus erythematosus,Systemic lupus erythematosus,N,55464009,257628,"SLE, the most common type of lupus, is a chronic inflammatory disease that occurs when the body's immune system attacks its own tissues and organs. Inflammation caused by lupus can affect many different body systems — including joints, skin, kidneys, blood cells, brain, heart and lungs.",https://pubmed.ncbi.nlm.nih.gov/33474834/,Izmirly 2021,P,"65.3 to 81.0 cases per 100,000",,65.3,81," 100,000 "," 217,645 "," 269,973 "," 243,809 ", 73.2 ,,"Although there are a few nonimmunologic laboratory characteristics of SLE, these are not specific (Aranow et al., 2011; Reeves et al., 2011). Immunological tests, which are specific to most autoimmune diseases such as lupus, include the presence of specific cytotoxic lymphocytes and a variety of autoantibodies, including a persistently positive antinuclear antibody (ANA). The diagnostic utility of test procedures for ANA is described in Chapter 77. Laboratory data in the form of an isolated false-positive syphilis test, a low platelet count, elevated partial thromboplastin time (PTT), or leukopenia may suggest many other diseases that are often considered before SLE. SLE is a clinical diagnosis that depends on a careful history and physical examination. Autoantibodies are frequently associated with no disease and occur in normal people; they alone support but are not diagnostic of the disease. A history of specific medication is particularly important, as reversible drug-induced lupus is responsible for some 10% of cases (Yung and Richardson, 2011) and is often seen in older patients, particularly males. Lupus can be related to other illnesses that can occur in the patient's family such as rheumatoid arthritis (RA), ITP, and multiple sclerosis.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
