Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Skin,Progressive hemifacial atrophy,Parry Romberg syndrome,S,,,718224004,37397558,,
Nervous System,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Limbic encephalitis with N-methyl-D-aspartate receptor antibodies,S,,,716684004,37399546,,"autoantibodies target the NMDA receptor, the AMPA receptor, the voltage-gated potassium channel (VGKC) complex, or a growing list of synaptic protein"
Musculoskeletal,Psoriatic arthritis,Psoriatic arthritis,N,,,156370009,40319772,"Psoriatic arthritis is an autoimmune disease marked by the combination of psoriasis and one or more forms of rheumatoid-like arthritis, including anklosing spondylitis, rheumatoid arthritis, and juvenile rheumatoid arthritis. ",
Musculoskeletal,Reactive arthritis,Reactive arthritis,N,,,201736002,40399768,"Reactive arthritis is an autoimmune condition classified in the family of spondyloarthritis. It is a type of arthritis that is typically acute and is most frequently caused by infections from bacteria in the genitals or bowel.  Reactive arthritis symptoms usually last for between 3 and 12 months. However, in some individuals, subsequent flares may occur due to stress or infection. The condition may also become chronic in some individuals.  Reactive arthritis may go unnoticed and heal on its own or it can cause pain in the joints. The knees and ankles are affected most often. ",
Musculoskeletal,Fibromyalgia,Fibromyalgia,N,,,203082005,40405599,"Fibromyalgia is a disorder that is characterized by chronic pain and fatigue. The cause of fibromyalgia is unknown. Fibromyalgia may be accompanied by headaches, migraines, digestive problems, sensitivity to light or noise, sleep disturbances, temporomandibular joint (TMJ) dysfunction, anxiety, and depression. While fibromyalgia is mainly characterized by widespread chronic pain it does not mean that everyone who has chronic pain has fibromyalgia. There is no biomarker for fibromyalgia however lab tests or x-rays can help rule out other conditions. Fibromyalgia follows a pattern seen in many suspected (and in some cases, later confirmed) autoimmune diseases - it mostly affects women, is marked by flares, and has no other known cause. A study of mice recently reported the transference of fibromyalgia symptoms to mice using antibodies, which increases the probability that the disease is autoimmune.  If this research is validated (reproduced) it could establish fibromyalgia as an autoimmune disease.  ",
Systemic,Antisynthetase syndrome,Antisynthetase syndrome,N,,,445187004,40482477,"Antisynthetase syndrome is sometimes an autoimmune form of myositis in which antibodies destroy <b>tRNA synthetase</b>, an enzyme that is essential for the creation of important proteins used throughout the body.  When that enzyme is destroyed, proteins that the body needs are not produced, and most noteably, proteins used to power the muscles. The result is muscle weakness, but since there are many proteins affected by the loss of tRNA synthetase, it can also impact the lungs and other parts of the body. 

The trigger for antisynthetase syndrome is unknown, but it may be associated with viral infection.  Patients with antisynthetase syndrome commonly experience muscle inflammation, lung disease, and joint inflammation.  This condition is seen twice as often in women than in men and typically occurs in middle age. This is a chronic disease with no cure, and disease severity and prognosis varies by individual.  Patients who only experience muscle symptoms can manage the condition well with treatment.  However, prognosis is poor for patients who develop progressive interstitial lung disease.",antibodies to aminoacyl tRNA synthetases
Nervous System,Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,N,,,446682003,40488855,"Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcus (PANDAS) affect children, adolescents, and young adults who may present with acute onset of obsessive-compulsive disorder (OCD) and/or tics following strep infection. PANDAS is a subset of Pediatric Acute-Onset Neuropsychiatric Syndrome (PANS) in which similar symptoms result from a misguided immune response following other infectious or environmental triggers such as the flu, COVID, or tick-borne diseases.",
Pancreas,Autoimmune pancreatitis,Autoimmune pancreatitis,N,,,448542008,40490446,"Autoimmune pancreatitis is a rare autoimmune disorder characterized by inflammation of the pancreas that may be acute or chronic. It is thought to be caused by the body's immune system attacking healthy cells of the pancreas. There are two subtypes of AIP, known as type 1 and type 2. Type 1 is the most common and it affects the pancreas, along with other organs, such as the liver, salivary glands, kidneys, lymph nodes, and gallbladder. Type 2 seems to only affect the pancreas but is associated with inflammatory bowel disease. Symptomatic patients often experience yellowing of the eyes (jaundice) and weight loss, but many patients are asymptomatic.  Autoimmune pancreatitis is a non-cancerous condition, but it is often mistaken for pancreatic cancer due to similar signs and symptoms.  There is no cure, but the condition is well-managed with treatment.",Elevated IgG4
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Antineutrophil cytoplasmic antibody positive vasculitis,N,,,722191003,42535714,"Anti-neutrophil cytoplasmic antibody (ANCA)-associated vasculitis (AAV) is a group of diseases characterized by destruction and inflammation of small vessels. The clinical signs vary and affect several organs, such as the kidney, stomach, intestine, and lung. Skin symptoms like purpura (small purple spots) may appear when small blood vessels leak under the skin. AAV occurs when the immune system produces ANCAs, which mistakenly activate neutrophils, a type of white blood cell. These activated neutrophils damage the lining of blood vessels. Though the mechanism of damage is understood, the triggers that lead to AAV are unknown.",T cells with specificity for ANCA antigens are present
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,ANCA vasculitis,S,,,722191003,42535714,,T cells with specificity for ANCA antigens are present
Nervous System,Complex regional pain syndrome,Amplified musculoskeletal pain syndrome,S,,,128200000,42536233,,
Nervous System,Complex regional pain syndrome,Complex regional pain syndrome type I,T,,,734947007,42536233,,
Nervous System,Complex regional pain syndrome,Reflex sympathetic dystrophy,T,,,734947007,42536233,,
Nervous System,Cataplexy and narcolepsy,Narcolepsy type 1,S,,,735676003,42536721,,
Glands,Polyglandular autoimmune syndrome type 4,Multiple autoimmune syndrome,S,,,449730005,42709858,"APS-4 is any combination of autoimmune diseases not covered by types 1, 2 or 3. ",
Glands,Polyglandular autoimmune syndrome type 4,Polyglandular autoimmune syndrome type 4,N,,,449730005,42709858,Multiple autoimmune syndrome is any combination of 2 or more autoimmune conditions. The Autoimmune Registry's research across numerous databases has determined that roughly 40% of individuals with autoimmune disease have multiple diseases. ,
Glands,Polyglandular autoimmune syndrome type 4,Autoimmune polyendocrine syndrome type 4,S,,,449730005,42709858,,
Glands,Polyglandular autoimmune syndrome type 3,Polyglandular autoimmune syndrome type 3,N,,,449731009,42709859,"APS-3 is an overlap disease that primarily includes thyroid diseases (Graves disease, Hashimoto's thyroiditis), diabetes mellitus type 1 and celiac disease. In addition, the disease may include pernicious anemia, alopecia, Sjogren's syndrome, myasthenia gravis and vitiligo. ",
Nervous System,Ophthalmoplegia due to Graves' disease,Ophthalmoplegia due to Graves' disease,N,,,1.04461E+14,45757069,"Graves’ ophthalmopathy (GO) is an autoimmune disorder affecting the eyes that is associated with Graves’ disease.  In Graves’ disease, the immune system targets and damages a specific cell type found in the thyroid.  This cell type is also found in the tissues surrounding the eyes (the orbit), and Graves’ ophthalmopathy results when the immune system attacks these orbital cells in addition to the cells in the thyroid.  

Patients with GO experience swelling in the tissues, muscles, and fat in the eye socket, which leads to an abnormal protrusion of the eye.  Smoking is associated with a greater risk of acquiring GO.  Patients often experience full recovery without intervention, but treatments are available to manage symptoms.",
Lungs,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,N,,,700250006,45763750,"Idiopathic pulmonary fibrosis is a scarring of the lungs. It is suspected that the scarring is due to an autoinflammatory or autoimmune response.  However, there are other causes, and only a fraction of patients with IPF suffer from an autoimmune form of the disease. ",
Musculoskeletal,Myositis,Idiopathic inflammatory myopathy,T,,,702380008,45765443,,
Blood,Autoimmune lymphoproliferative syndrome,Autoimmune lymphoproliferative syndrome,N,,,702444009,45765493,"Autoimmune lymphoproliferative syndrome (ALPS) is a rare genetic disease that causes the overproduction of lymphocytes. ALPS results from mutations in one of the genes controlling how lymphocytes work. The most common gene affected is called FAS. This leads to the enlargement of lymph nodes (lymphadenopathy), the liver (hepatomegaly), and the spleen (splenomegaly). ALPS can cause anemia (low level of red blood cells), thrombocytopenia (low level of platelets), and neutropenia (low level of neutrophils). ALPS can also cause impairing symptoms and increase the risk of developing serious health conditions, such as autoimmune diseases and lymphoma.",
Vascular system,Retinocochleocerebral vasculopathy,Retinocochleocerebral vasculopathy,N,,,702575003,45765600,"Susac's syndrome affects three parts of the body: the brain, the retina of the eye, and the inner ear. The cause is uncertain, but the disease is believed to be autoimmune.  Swelling in the lining of the blood vessels in these three areas blocks and decreases blood flow, which results in impaired brain function and vision/ hearing loss.  Symptoms are typically unstable as the disease progresses, and patients often experience disturbance in only 2 of the 3 areas at any given time.  

The severity of cases may vary, with mild cases resolving in under a year and severe cases having longer duration and causing irreparable damage.  During the course of the disease, some patients may experience symptoms in a flare-remission pattern, while others are consistently symptomatic until time of recovery.  Treatment is available to prevent permanent damage, and most patients under medical care can expect to experience complete or near complete recovery.",
Vascular system,Retinocochleocerebral vasculopathy,Susac's syndrome,S,,,702575003,45765600,,
Nervous System,Neuromyotonia,Isaacs' syndrome,S,,,305719002,46272949,,
Nervous System,Neuromyotonia,Neuromyotonia,C,,,305719002,46272949,,
Blood,Antiphospholipid syndrome,Hughes syndrome,S,,,26843008,,"Antiphospholipid syndrome occurs when the immune system attacks some of the normal proteins in the blood. There's no cure for antiphospholipid syndrome, but medications can reduce the risk of blood clots.
",Beta-2 glycoprotein I
Systemic,Systemic sclerosis with limited cutaneous involvement,CREST syndrome,S,,,298285004,,"CREST is a subtype of scleroderma, a connective tissue disease characterized by changes in the skin, blood vessels, skeletal muscles, and internal organs. CREST is the acronym for the clinical features seen in individuals with the disease :                        

C - Calcinosis: calcium deposits in the connective tissues

R - Raynaud's phenomenon: where the hands and feet turn white and cold and then blue, in response to cold or anxiety.

E - Esophageal dysfunction:  where a person has difficulty swallowing 

S - Sclerodactyly: thick and tight skin on the fingers, caused by an excess of collagen deposits within skin layers.

T - Telangiectasia: small red spots on the hands and face that are caused by the swelling of tiny blood vessels.

To be diagnosed with CREST, you must have 3 out of the 5 symptoms.",
Systemic,Systemic sclerosis with limited cutaneous involvement,dcSSc,A,,,298285004,,"CREST is a subtype of scleroderma, a connective tissue disease characterized by changes in the skin, blood vessels, skeletal muscles, and internal organs. CREST is the acronym for the clinical features seen in individuals with the disease :                        

C - Calcinosis: calcium deposits in the connective tissues

R - Raynaud's phenomenon: where the hands and feet turn white and cold and then blue, in response to cold or anxiety.

E - Esophageal dysfunction:  where a person has difficulty swallowing 

S - Sclerodactyly: thick and tight skin on the fingers, caused by an excess of collagen deposits within skin layers.

T - Telangiectasia: small red spots on the hands and face that are caused by the swelling of tiny blood vessels.

To be diagnosed with CREST, you must have 3 out of the 5 symptoms.",
Glands,Sjögren's disease,SJS,A,,,83901003,,"Sjögren’s disease is a systemic autoimmune disease that can affect many parts of the body.  Traditionally, it was thought to be focused on the moisture-secreting glands of the eyes and mouth, but that has since been debunked.  Its name was changed from Sjögren's syndrome to Sjögren's disease to reflect the systemic nature of the disease.  Sjögren's patients are also predominantly female, with a female to male ratio of roughly 10 to 1.                                                                                               

Sjögren's can impact many different areas of the body, including the lungs, brain, gastrointestinal tract, sinus tract, nerves, joints, blood vessels, and kidneys.  Symptoms vary significantly among patients, ranging from dry eyes and dry mouth to systemic fatigue, pain and brain fog.  Depression and anxiety are also common comorbidities to the disease.  Patients’ quality of life can be significantly impacted, with some evidence that fatigue and pain are the greatest predictors of poor quality of life.                                                                                          

Patients with Sjögren's can be diagnosed through positive antibodies (SSA or SSB), seropositive, or by diagnostic criteria without the presence of antibodies (called ""seronegative"").  Seronegative patients report greater difficulty in obtaining a diagnosis and it is believed that, in general, Sjögren's disease is under-diagnosed.                                               

Sjögren's disease is also often accompanied by other immune system disorders, such as rheumatoid arthritis and lupus.  In such cases, physicians tend to refer to the patients as having Secondary Sjögren's, as opposed to Primary Sjögren's when patients only have one autoimmune disease.  There has been a movement among patients and advocates to remove the label of “Secondary” as it trivializes Sjögren's as less important than the other autoimmune diseases.",
Glands,Addison's disease,Primary adrenal insufficiency,S,,,386584007,,,adrenal cortical antibodies—ACA
Nervous System,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Anti-NMDA Encephalitis,S,,,4.52281E+14,,,"autoantibodies target the NMDA receptor, the AMPA receptor, the voltage-gated potassium channel (VGKC) complex, or a growing list of synaptic protein"
Blood,Immune thrombocytopenia,Autoimmune thrombocytopenic purpura,S,,,2897005,,,Glycoprotein IIb/IIIa
Blood,Antiphospholipid syndrome,aCL syndrome,S,,,26843008,,,
Skin,Hidradenitis suppurativa,Acne inversa,S,,,59393003,,,
Skin,Autoimmune angioedema,Acquired angiodema,S,,,402401003,,,
Blood,Warm autoimmune hemolytic anemia,Acquired autoimmune hemolytic anemia,S,,,3978000,,,
Blood,Acquired hemophilia,Acquired haemophilia,S,,,785308008,,,
Nervous System,Myasthenia gravis,Acquired myasthenia,S,,,91637004,,,
Blood,Pure red cell aplasia,Acquired pure red cell aplasia,S,,,50715003,,,
Skin,Acute lichenoid pityriasis,Acuta guttale parapsoriasis,S,,,86487001,,,
Nervous System,Neuralgic amyotrophy,Acute brachial neuritis,S,,,3548001,,,
Systemic,Rheumatic fever,Acute rheumatic fever,S,,,58718002,,,
Heart,Rheumatic fever,Acute rheumatic myocarditis,S,,,194709000,,,
Nervous System,Acute disseminated encephalomyelitis,ADEM,A,,,83942000,,,
Systemic,Endometriosis,Adenomyometritis,S,,,129103003,,,
Systemic,Endometriosis,Adenomyosis,S,,,129103003,,,
Systemic,Endometriosis,Adenomysis uteri,S,,,129103003,,,
Musculoskeletal,Lipomatosis dolorosa,Adiposis dolorosa,S,,,71404003,,,
Glands,Addison's disease,Adrenal Insufficiency,S,,,386584007,,,
Nervous System,Ligneous conjunctivitis,Adult Onset Ligneous conjunctivitis,S,,,403435005,,,
Blood,Pure red cell aplasia,Adult pure red cell aplasia,S,,,50715003,,,
Systemic,Adult onset Still's disease,Adult Still's disease,S,,,239920006,,,
Vascular system,Immunoglobulin A vasculitis,Anaphylactoid purpura,S,,,191306005,,,
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,ANCA-associated vasculitis,S,,,722191003,,,
Musculoskeletal,Lipomatosis dolorosa,Anders disease,S,,,71404003,,,
Blood,Cold agglutinin disease,"Anemia, hemolytic cold antibody",S,,,398937006,,,
Blood,Antiphospholipid syndrome,Anticardiolipin antibody syndrome,S,,,26843008,,,
Kidney,Anti-glomerular basement membrane disease,Anti-GBM disease,S,,,788613004,,,
Systemic,Antisynthetase syndrome,Anti-Jo1 syndrome,S,,,445187004,,,
Nervous System,Myelin oligodendrocyte glycoprotein antibody-associated disease,Anti-MAG disease,S,,,1237194006,,,
Nervous System,Myelin oligodendrocyte glycoprotein antibody-associated disease,Anti-MOG disease,S,,,1237194006,,,
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Anti-neutrophil cytoplasmic antibody-associated vasculitis,S,,,722191003,,,
Nervous System,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Anti-NMDA receptor encephalitis,S,,,4.52281E+14,,,
Nervous System,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Anti-N-methyl-D-aspartate receptor encephalitis,S,,,4.52281E+14,,,
Skin,Autoimmune progesterone dermatitis,APD,A,,,838551007,,,
Glands,Polyglandular autoimmune syndrome type 1,APECED,A,,,11244009,,,
Glands,Polyglandular autoimmune syndrome type 1,APS-1,A,,,11244009,,,
Glands,Polyglandular autoimmune syndrome type 2,APS2,A,,,83728000,,,
Nervous System,Opsoclonus-myoclonus syndrome,Ataxo-opso-myoclonus syndrome,S,,,230350000,,,
Blood,Immune thrombocytopenia,ATP,A,,,13172003,,,
Glands,Addison's disease,Autoimmune adrenalitis,S,,,363732003,,,
Digestive system,Autoimmune gastritis,Autoimmune atrophic gastritis,S,,,84568007,,,
Heart,Myocarditis due to autoimmune disease,Autoimmune cardiomyopathy,S,,,871640001,,,
Blood,Essential mixed cryoglobulinemia,Autoimmune cryoglobulinemia,S,,,239947001,,,
Skin,Acquired epidermolysis bullosa,Autoimmune epidermolysis bullosa,S,,,2772003,,,
Glands,Graves' disease,Autoimmune hyperthyroidism,S,,,353295004,,,
Nervous System,Ligneous conjunctivitis,Autoimmune ligneous conjunctivitis,S,,,403435005,,,
Nervous System,Myasthenia gravis,Autoimmune myasthenia gravis,S,,,91637004,,,
Blood,Autoimmune neutropenia,Autoimmune neutropenia of infancy,S,,,234425008,,,
Glands,Polyglandular autoimmune syndrome type 1,Autoimmune polyendocrine syndrome type 1,S,,,11244009,,,
Glands,Polyglandular autoimmune syndrome type 2,Autoimmune polyendocrine syndrome type 2,S,,,83728000,,,
Glands,Polyglandular autoimmune syndrome type 3,Autoimmune polyendocrine syndrome type 3,S,,,449731009,,,
Glands,Polyglandular autoimmune syndrome type 1,Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,S,,,11244009,,,
Glands,Polyglandular autoimmune syndrome type 1,Autoimmune polyglandular syndrome type 1,S,,,11244009,,,
Glands,Polyglandular autoimmune syndrome type 2,Autoimmune polyglandular syndrome type II,S,,,83728000,,,
Glands,Polyglandular autoimmune syndrome type 3,Autoimmune polyglandular syndrome type III,S,,,449731009,,,
Nervous System,Uveitis,Autoimmune uveitis,S,,,128473001,,,
Musculoskeletal,Ankylosing spondylitis,Axial spondyloarthritis,S,,,9631008,,,
Nervous System,Guillain-Barré syndrome,Axonal Guillain-Barré syndrome,T,,,715770009,,,
Skin,Lichen sclerosus,Balanitis xerotica obliterans,S,,,895454001,,,
Glands,Graves' disease,Basedow disease,S,,,353295004,,,
Vascular system,Behçet's syndrome,Behçet's disease,S,,,310701003,,,
Kidney,IgA nephropathy,Berger's Disease,S,,,236407003,,,
Systemic,Sarcoidosis,Besnier-Boeck-Schaumann disease,S,,,72470008,,,
Nervous System,Autoimmune encephalitis,Bickerstaff encephalitis,S,,,427086003,,,
Bladder,Chronic interstitial cystitis,Bladder pain syndrome,S,,,197834003,,,
Nervous System,Neuralgic amyotrophy,Brachial neuritis,S,,,3548001,,,
Nervous System,Neuralgic amyotrophy,Brachial plexitis,S,,,3548001,,,
Nervous System,Neuralgic amyotrophy,Brachial plexus neuritis,S,,,3548001,,,
Nervous System,Neuralgic amyotrophy,Brachial radiculitis,S,,,3548001,,,
Lungs,Cryptogenic organizing pneumonia,Bronchiolitis obliterans with organizing pneumonia,S,,,719218000,,,
Blood,Cold agglutinin disease,CAD,A,,,127055007,,,
Blood,Autoimmune lymphoproliferative syndrome,Canale-Smith syndrome,S,,,702444009,,,
Glands,Polyglandular autoimmune syndrome type 2,Carpenter syndrome,S,,,83728000,,,
Systemic,Angiofollicular lymph node hyperplasia,Castleman Disease,S,,,207036003,,,
Nervous System,Complex regional pain syndrome,Causalgia,T,,,408751001,,,
Digestive system,Celiac disease,Celiac sprue,S,,,396331005,,,
Vascular system,Moyamoya disease,Cerebrovascular moyamoya disease,S,,,69116000,,,
Musculoskeletal,Relapsing polychondritis,Chronic atrophic polychondritis,S,,,72275000,,,
Vascular system,Linear IgA dermatosis,Chronic bullous dermatosis of childhood,S,,,95330001,,,
Nervous System,Intermediate uveitis,Chronic cyclitis,S,,,314429009,,,
Skin,Autoimmune urticaria,Chronic idiopathic urticaria,S,,,402397006,,,
Glands,Autoimmune thyroiditis,Chronic lymphocytic thyroiditis,S,,,66944004,,,
Liver,Primary sclerosing cholangitis,Chronic obliterative cholangitis,S,,,197441003,,,
Nervous System,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic relapsing polyneuropathy,S,,,128209004,,,
Skin,Autoimmune urticaria,Chronic urticaria,S,,,402397006,,,
Musculoskeletal,Schnitzler syndrome,Chronic urticaria with gammapathy,S,,,402415001,,,
Musculoskeletal,Schnitzler syndrome,Chronic urticaria with gammopathy,S,,,402415001,,,
Musculoskeletal,Schnitzler syndrome,Chronic urticaria with macroglobulinemia,S,,,402415001,,,
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Churg Strauss syndrome,S,,,82275008,,,
Skin,Benign mucous membrane pemphigoid,Cicatricial pemphigoid,S,,,34250006,,,
Vascular system,Polyarteritis nodosa,Classic polyarteritis nodosa,S,,,155441006,,,
Digestive system,Celiac disease,Coeliac disease,S,,,396331005,,,
Blood,Cold agglutinin disease,Cold antibody disease,S,,,398937006,,,
Blood,Cold agglutinin disease,Cold autoimmune hemolytic anemia,S,,,398937006,,,
Nervous System,Complex regional pain syndrome,Complex regional pain syndrome type 1,T,,,734947007,,,
Nervous System,Complex regional pain syndrome,Complex regional pain syndrome type 2,T,,,408751001,,,
Nervous System,Balo concentric sclerosis,Concentric sclerosis,S,,,230380005,,,
Nervous System,Ligneous conjunctivitis,Conjunctivitis lignose,S,,,403435005,,,
Nervous System,Neuromyotonia,Continuous muscle fiber activity syndrome,S,,,305719002,,,
Nervous System,Mooren's ulcer,Corneal Ulcer,S,,,22440001,,,
Systemic,Chronic post-COVID-19 syndrome,COVID Long-Hauler,S,,,1119304009,,,
Heart,Myocarditis due to autoimmune disease,Coxsackie myocarditis,S,,,37217002,,,
Vascular system,Polyarteritis nodosa,c-PAN,A,,,155441006,,,
Digestive system,Crohn's disease,Crohn's colitis,S,,,34000006,,,
Digestive system,Crohn's disease,Crohn's granulomatous,S,,,34000006,,,
Nervous System,POEMS syndrome,Crow-Fukase syndrome,S,,,79268002,,,
Blood,Essential mixed cryoglobulinemia,Cryoglobulinemic Vasculitis,S,,,239947001,,,
Vascular system,Hypersensitivity angiitis,Cutaneous Leukocytoclastic vasculitis,S,,,60555002,,,
Nervous System,Intermediate uveitis,Cyclochorioretinitis,S,,,314429009,,,
Nervous System,Opsoclonus-myoclonus syndrome,Dancing eye syndrome,S,,,230350000,,,
Nervous System,Opsoclonus-myoclonus syndrome,Dancing eye-dancing feet syndrome,S,,,230350000,,,
Musculoskeletal,Lipomatosis dolorosa,Dercum's disease,S,,,71404003,,,
Nervous System,Neuromyelitis optica,Devic's syndrome,S,,,25044007,,,
Skin,Dermatitis herpetiformis,DH,A,,,111196000,,,
Nervous System,Cogan's syndrome,Diffuse interstitial keratitis,S,,,405810005,,,
Systemic,Systemic sclerosis,Diffuse Systemic sclerosis,S,,,89155008,,,
Heart,Primary idiopathic dilated cardiomyopathy,Dilated cardiomyopathy,S,,,53043001,,,
Skin,Cutaneous lupus erythematosus,Discoid lupus,S,,,7119001,,,
Skin,Dermatitis herpetiformis,Duhring-Brocq disease,S,,,111196000,,,
Skin,Dermatitis herpetiformis,Duhring's disease,S,,,111196000,,,
Skin,Acquired epidermolysis bullosa,EBA,A,,,2772003,,,
Skin,Erythema nodosum,EN,A,,,32861005,,,
Nervous System,Balo concentric sclerosis,Encephalitis periaxialis concentrica,S,,,230380005,,,
Systemic,Endometriosis,Endometriosis Uterina,S,,,129103003,,,
Musculoskeletal,Enthesitis,Enthesitis-related arthritis,S,,,359643005,,,
Musculoskeletal,Enthesitis,Enthesitis-related juvenile arthritis,S,,,359643005,,,
Blood,Immunoglobulin G4 related disease,Eosinophilic angiocentric fibrosis,S,,,1.07433E+16,,,
Digestive system,Autoimmune gastritis,Eosinophilic gastritis,S,,,84568007,,,
Digestive system,Eosinophilic Esophagitis,Eosinophilic Oesophagitis,S,,,235599003,,,
Skin,Acquired epidermolysis bullosa,Epidermolysis bullosa acquisita,S,,,2772003,,,
Musculoskeletal,Chronic Lyme disease,Erythema Migrans with Polyarthritis,S,,,33937009,,,
Skin,Erythema nodosum,Erythema nodosum of unknown etiology,S,,,32861005,,,
Nervous System,Sympathetic uveitis,Exciting Eye,S,,,75315001,,,
Glands,Graves' disease,Exophthalmic goiter,S,,,353295004,,,
Musculoskeletal,Lipomatosis dolorosa,Fatty tissue rheumatism,S,,,71404003,,,
Musculoskeletal,Fibromyalgia,Fibromyalgia Syndrome,S,,,203082005,,,
Liver,Primary sclerosing cholangitis,Fibrosing cholangitis,S,,,197441003,,,
Musculoskeletal,Reactive arthritis,Fiessinger-Leroy disease,S,,,201736002,,,
Musculoskeletal,Felty syndrome,FS,A,,,57160007,,,
Digestive system,Crohn's disease,Gastroduodenal Crohn's disease,S,,,34000006,,,
Skin,Dermatitis herpetiformis,Gluten rash,S,,,111196000,,,
Digestive system,Celiac disease,Gluten-induced enteropathy,S,,,396331005,,,
Digestive system,Celiac disease,Gluten-sensitive enteropathy,S,,,396331005,,,
Kidney,Anti-glomerular basement membrane disease,Goodpasture's disease,S,,,50581000,,,
Kidney,Anti-glomerular basement membrane disease,Goodpasture's syndrome,S,,,50581000,,,
Vascular system,Temporal arteritis,Granulomatous arteritis,S,,,400130008,,,
Nervous System,Ophthalmoplegia due to Graves' disease,Graves' eye disease,S,,,1.04461E+14,,,
Glands,Graves' disease,Graves' hyperthyroidism,S,,,353295004,,,
Nervous System,Ophthalmoplegia due to Graves' disease,Graves ophthalmopathy,S,,,1.04461E+14,,,
Nervous System,Ophthalmoplegia due to Graves' disease,Graves' ophthalmopathy,S,,,1.04461E+14,,,
Nervous System,Ophthalmoplegia due to Graves' disease,Graves' orbitopathy,S,,,1.04461E+14,,,
Nervous System,Guillain-Barré syndrome,Guillain-Barre Syndrome,H,,,40956001,,,
Glands,Autoimmune thyroiditis,Hashimoto's disease,S,,,21983002,,,
Nervous System,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Hashimoto's encephalitis,S,,,771271000,,,
Glands,Autoimmune thyroiditis,Hashimoto's thyroiditis,S,,,21983002,,,
Musculoskeletal,Palindromic rheumatism,Hench's syndrome,S,,,50442003,,,
Vascular system,Immunoglobulin A vasculitis,Henoch-Schönlein purpura,S,,,191306005,,,
Vascular system,Behçet's syndrome,Hughes-Stovin syndrome,S,,,721226005,,,
Blood,Immunoglobulin G4 related disease,Hyper-IgG4 disease,S,,,1.07433E+16,,,
Vascular system,Hypersensitivity angiitis,Hypersensitivity Vasculitis,S,,,60555002,,,
Musculoskeletal,Inclusion Body Myositis,IBM,A,,,72315009,,,
Bladder,Chronic interstitial cystitis,IC,A,,,197834003,,,
Blood,Warm autoimmune hemolytic anemia,Idiopathic autoimmune hemolytic anemia,S,,,3978000,,,
Nervous System,Neuralgic amyotrophy,Idiopathic brachial neuritis,S,,,3548001,,,
Nervous System,Neuralgic amyotrophy,Idiopathic brachial plexus neuropathy,S,,,3548001,,,
Heart,Primary idiopathic dilated cardiomyopathy,Idiopathic dilated cardiomyopathy,S,,,53043001,,,
Skin,Erythema nodosum,Idiopathic erythema nodosum,S,,,32861005,,,
Skin,Progressive hemifacial atrophy,Idiopathic hemifacial atrophy,S,,,718224004,,,
Blood,Immunoglobulin G4 related disease,Idiopathic hypocomplementemic tubulointerstitial nephritis,S,,,1.07433E+16,,,
Musculoskeletal,Myositis,Idiopathic inflammatory myopathies,S,,,702380008,,,
Lungs,Cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,S,,,719218000,,,
Blood,Pure red cell aplasia,Idiopathic pure red cell aplasia,S,,,50715003,,,
Blood,Immunoglobulin G4 related disease,Idiopathic retroperitoneal Fibrosis,S,,,1.07433E+16,,,
Nervous System,Uveitis,Idiopathic uveitis,S,,,128473001,,,
Blood,Immunoglobulin G4 related disease,IgG4-related diseases,S,,,1.07433E+16,,,
Blood,Immunoglobulin G4 related disease,IgG4-related retroperitoneal fibrosis,S,,,1.07433E+16,,,
Blood,Immunoglobulin G4 related disease,IgG4-related systemic disease,S,,,1.07433E+16,,,
Digestive system,Crohn's disease,Ileocolitis,S,,,34000006,,,
Digestive system,Crohn's disease,Illeitis,S,,,34000006,,,
Blood,Warm autoimmune hemolytic anemia,Immune hemolytic anemia,S,,,3978000,,,
Blood,Warm autoimmune hemolytic anemia,Immunohemolytic anemia,S,,,3978000,,,
Blood,Immunoglobulin G4 related disease,Inflammatory aortic aneurysm,S,,,1.07433E+16,,,
Blood,Immunoglobulin G4 related disease,Inflammatory pseudotumor,S,,,1.07433E+16,,,
Systemic,Rheumatic fever,Inflammatory rheumatism,S,,,58718002,,,
Pancreas,Diabetes mellitus type 1,Insulin dependent Diabetes,S,,,46635009,,,
Lungs,Cryptogenic organizing pneumonia,Interstitial pneumonia,S,,,719218000,,,
Lungs,Idiopathic pulmonary fibrosis,Interstitial pulmonary fibrosis,S,,,700250006,,,
